Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Slim Crossbody With Front Zip - 452,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/art-playful-zebras/products/leather-slim-cross-body-with-front-zip-452-plz,Your dream vacation spot is:,A tropical island 🏝️,Metamorph Muse,Caribbean beaches 🏖️,Boho Spirit,A quiet ocean cliff 🌊,Retro Muse,A deep forest retreat 🌿,Camellia Grace
Organizer Crossbody With Extended Side Zipper - 493,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/art-playful-zebras/products/leather-organizer-crossbody-with-extended-side-zipper-493-plz,Which element resonates with your soul?,Air,Winged Serenity,Light,Savannah Spirit,Movement,Dreamscape Urbanite,Growth,Earth Song
Airpod Pro Case - 1179,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-airpod-pro-case-1179-prc,Which element resonates with your soul?,Air,Wolf Moon,Light,Gentle Guardian,Movement,Color Mirage,Growth,Wolf Moon
Slim Crossbody With Front Zip - 452,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/pretty-peacocks/products/leather-slim-crossbody-with-front-zip-452-prc,What type of adventure excites you most?,A jungle safari 🐆,Paisley Muse,Climbing a mountain 🏔️,Retro Muse,Exploring an enchanted forest 🌲,Boho Spirit,Leading an expedition 🦁,Retro Muse
Double Eyeglass Case - 1009,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-double-eyeglass-case-1009-prc,Pick a season you love most:,Spring 🌸,Crimson Blossom,Summer 🌞,Vintage Charm,Autumn 🍂,Retro Muse,Winter ❄️,Savannah Spirit
Clasp Pouch With Key Fobs - 1177,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-clasp-pouch-with-key-fobs-1177-prc,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Wolf Moon,Bold and fiery rose prints,Enchanted Rose,Soft watercolor blossoms,Caribbean Dreamer,Dark romantic florals,Metamorph Muse
Accordion Flap Wallet - 1112,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-accordion-flap-wallet-1112-prc,What’s your go-to mood on weekends?,Relaxing with nature,Retro Muse,Partying in the city,Camellia Grace,Exploring something new,Roaring Majesty,Staying cozy at home,Leopard Luxe
Wide Organizer Satchel - 695,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-wide-organizer-satchel-695-prc,Which wild animal do you relate to most?,Leopard,Winged Serenity,Lion,Sacred Elephant,Deer,Angel Aura,Wolf,Sacred Elephant
Card Holder with Wristlet - 1180,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-card-holder-with-wristlet-1180-prc,Your dream vacation spot is:,A tropical island 🏝️,Camellia Grace,Caribbean beaches 🏖️,Tropical Breeze,A quiet ocean cliff 🌊,Camellia Grace,A deep forest retreat 🌿,Angel Aura
Zip-Top Shoulder Hobo - 709,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-zip-top-shoulder-hobo-709-prc,"If your personality was a painting, it would be:",Bold and expressive abstract,Wolf Moon,Geometric and structured mosaic,Petal Muse,Free,Earth Song,Delicate and detailed paisley,Roaring Majesty
Flap Crossbody - 683,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/pretty-peacocks/products/leather-flap-crossbody-683-prc,Pick a season you love most:,Spring 🌸,Vintage Charm,Summer 🌞,Paisley Muse,Autumn 🍂,Petal Muse,Winter ❄️,Petal Muse
Painted Leather Bag Charm K0031 - Keycharms,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-painted-leather-bag-charm-k0031-rbw,"If you had wings, how would you use them?",To glide peacefully above nature,Camellia Grace,To explore galaxies beyond Earth,Earth Song,To dance among flowers in freedom,Mystic Mosaic,To transform and start anew,Angel Aura
Classic Hobo With Side Pockets - 382,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-classic-hobo-with-side-pockets-382-rbw,What type of adventure excites you most?,A jungle safari 🐆,Enchanted Rose,Climbing a mountain 🏔️,Sacred Elephant,Exploring an enchanted forest 🌲,Paisley Muse,Leading an expedition 🦁,Caribbean Dreamer
Coin Pouch - 1031,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-coin-pouch-1031-rbw,Which bag style attracts you most?,Sleek and modern,Vintage Charm,Antique leather satchel,Color Mirage,Funky retro prints,Leopard Luxe,Edgy futuristic designs,Playful Paws
Wooden Printed Cutting Board - 25002,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/art-rainbow-birds/products/wooden-printed-cutting-board-25002-rbw,Which wild animal do you relate to most?,Leopard,Tropical Breeze,Lion,Caribbean Dreamer,Deer,Dreamscape Urbanite,Wolf,Roaring Majesty
Printed Glass Candle Jar - 25005,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/art-rainbow-birds/products/glass-candle-25005-rbw,What quality do you value most?,Protection and care,Enchanted Rose,Wisdom and calmness,Petal Muse,Playfulness and joy,Leopard Luxe,Strength with compassion,Dreamscape Urbanite
Accordion Style Credit And Business Card Holder - 1110,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-accordion-card-holder-1110-rbw,What type of adventure excites you most?,A jungle safari 🐆,Caribbean Dreamer,Climbing a mountain 🏔️,Enchanted Rose,Exploring an enchanted forest 🌲,Boho Spirit,Leading an expedition 🦁,Winged Serenity
Mini Double Zip Travel Crossbody - 448,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-mini-double-zip-travel-cross-body-448-rbw,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Enchanted Rose,Bold and fiery rose prints,Vintage Charm,Soft watercolor blossoms,Ocean Mist,Dark romantic florals,Enchanted Rose
Organizer Crossbody With RFID Protection - 637,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-organizer-crossbody-with-rfid-protection-637-rbw,Which scenery feels most calming to you?,A blooming spring garden 🌷,Sacred Elephant,A field of wild roses under sunset 🌹,Earth Song,A misty meadow with dew,Camellia Grace,A vintage botanical greenhouse 🌼,Camellia Grace
Zip Around Everyday Crossbody - 678,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-zip-around-everyday-crossbody-678-rbw,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Savannah Spirit,Bold and fiery rose prints,Flutter Charm,Soft watercolor blossoms,Mystic Mosaic,Dark romantic florals,Boho Spirit
Multi Compartment Medium Bag - 691,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/art-rainbow-birds/products/leather-multi-compartment-medium-bag-691-rbw,Which wild animal do you relate to most?,Leopard,Wolf Moon,Lion,Savannah Spirit,Deer,Color Mirage,Wolf,Gentle Guardian
Medium Frame Crossbody - 700,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/rainforest-beauties-hand-painted-bags-and-accessories/products/leather-medium-frame-crossbody-700-rfb,Which bag style attracts you most?,Sleek and modern,Dreamscape Urbanite,Antique leather satchel,Mystic Mosaic,Funky retro prints,Ocean Mist,Edgy futuristic designs,Playful Paws
Small Convertible Hobo - 701,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/rainforest-beauties-hand-painted-bags-and-accessories/products/leather-small-convertible-hobo-701-rfb,Which element resonates with your soul?,Air,Roaring Majesty,Light,Metamorph Muse,Movement,Metamorph Muse,Growth,Wilderness Whisper
Zip Around Travel Organizer - 668,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/rainforest-beauties-hand-painted-bags-and-accessories/products/leather-zip-around-travel-organizer-668-rfb,What color palette do you prefer for accessories?,Aqua blues and sea greens,Wilderness Whisper,Bright island colors,Ocean Mist,Soft sandy tones,Boho Spirit,Earthy browns and greens,Paisley Muse
Coin Pouch - 1031,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/rainforest-beauties-hand-painted-bags-and-accessories/products/leather-coin-pouch-1031-rfb,Which wild animal do you relate to most?,Leopard,Gentle Guardian,Lion,Mystic Mosaic,Deer,Flutter Charm,Wolf,Vintage Charm
Twin Top Messenger - 704,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/rainforest-beauties-hand-painted-bags-and-accessories/products/leather-hand-painted-twin-top-messenger-704-rfb,What’s your go-to mood on weekends?,Relaxing with nature,Playful Paws,Partying in the city,Petal Muse,Exploring something new,Gentle Guardian,Staying cozy at home,Ethereal Bloom
Medium Tote - 693,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/rainforest-beauties-hand-painted-bags-and-accessories/products/leather-medium-tote-693-rfb,What color palette do you prefer for accessories?,Aqua blues and sea greens,Boho Spirit,Bright island colors,Paisley Muse,Soft sandy tones,Boho Spirit,Earthy browns and greens,Retro Muse
Medium Zip Pouch - 1107,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-medium-zip-pouch-1107-rgp,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Ethereal Bloom,An elephant with a lotus 🐘,Dreamscape Urbanite,A guardian dog 🐕,Dreamscape Urbanite,A mystical owl 🦉,Flutter Charm
Three-in-One Clutch - 667,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-three-in-one-clutch-667-rgp,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Wilderness Whisper,An elephant with a lotus 🐘,Caribbean Dreamer,A guardian dog 🐕,Sacred Elephant,A mystical owl 🦉,Caribbean Dreamer
Organizer Wallet Crossbody - 1149,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-organizer-wallet-cross-body-1149-rgp,Pick a season you love most:,Spring 🌸,Camellia Grace,Summer 🌞,Retro Muse,Autumn 🍂,Playful Paws,Winter ❄️,Boho Spirit
Checkbook Clutch with RFID - 1153,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-checkbook-clutch-with-rfid-1153-rgp,What type of adventure excites you most?,A jungle safari 🐆,Gentle Guardian,Climbing a mountain 🏔️,Winged Serenity,Exploring an enchanted forest 🌲,City Lights,Leading an expedition 🦁,Ocean Mist
Organizer Crossbody With Extended Side Zipper - 493,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-organizer-crossbody-with-extended-side-zipper-493-rgp,Which element resonates with your soul?,Air,Tropical Breeze,Light,Camellia Grace,Movement,Tropical Breeze,Growth,Gentle Guardian
Convertible Slim Hobo With Crossbody Strap - 662,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-convertible-slim-hobo-with-crossbody-strap-662-rgp,Your dream vacation spot is:,A tropical island 🏝️,Ocean Mist,Caribbean beaches 🏖️,Camellia Grace,A quiet ocean cliff 🌊,Dreamscape Urbanite,A deep forest retreat 🌿,Savannah Spirit
Classic Work Tote - 664,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-classic-work-tote-664-rgp,Pick a season you love most:,Spring 🌸,Dreamscape Urbanite,Summer 🌞,Savannah Spirit,Autumn 🍂,Paisley Muse,Winter ❄️,Wolf Moon
Large Cosmetic Pouch - 1164,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/art-regal-peacock/products/leather-large-cosmetic-pouch-1164-rgp,Pick a season you love most:,Spring 🌸,Crimson Blossom,Summer 🌞,Caribbean Dreamer,Autumn 🍂,Earth Song,Winter ❄️,Petal Muse
RFID Blocking Card Case with Coin Pouch - 1140,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-regal-peacock/products/leather-rfid-blocking-card-case-with-coin-pouch-1140-rgp,Which element resonates with your soul?,Air,Paisley Muse,Light,Retro Muse,Movement,Celestial Wings,Growth,Ethereal Bloom
Zip Around Classic Satchel - 625,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/art-regal-peacock/products/leather-zip-around-classic-satchel-625-rgp,Which element resonates with your soul?,Air,Flutter Charm,Light,Vintage Charm,Movement,Wolf Moon,Growth,Petal Muse
Large Convertible Satchel - 8441,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/romantic-roses-red/products/large-convertible-satchel-8441-rrs-red,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Angel Aura,Bold and fiery rose prints,Winged Serenity,Soft watercolor blossoms,Petal Muse,Dark romantic florals,Caribbean Dreamer
Painted Leather Bag Charm - K0013,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/romantic-roses-red/products/painted-leather-bag-charm-k0013-keycharms-rrs-red,What quality do you value most?,Protection and care,Sacred Elephant,Wisdom and calmness,Paisley Muse,Playfulness and joy,City Lights,Strength with compassion,Sacred Elephant
Medium Crossbody - 8495,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/romantic-roses-red/products/medium-crossbody-8495-rrs-red,"If your personality was a painting, it would be:",Bold and expressive abstract,Flutter Charm,Geometric and structured mosaic,Paisley Muse,Free,Gentle Guardian,Delicate and detailed paisley,Ocean Mist
Large Satchel - 8591,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/romantic-roses-red/products/large-satchel-8591-rrs-red,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Wilderness Whisper,Bold and fiery rose prints,City Lights,Soft watercolor blossoms,Crimson Blossom,Dark romantic florals,Paisley Muse
Small Shoulder Bag - 8504,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/romantic-roses-red/products/small-shoulder-bag-8504-rrs-red,What color palette do you prefer for accessories?,Aqua blues and sea greens,Petal Muse,Bright island colors,Celestial Wings,Soft sandy tones,Retro Muse,Earthy browns and greens,Ocean Mist
Medium Multi Compartment Bag - 8503,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/romantic-roses-red/products/medium-multi-compartment-bag-8503-rrs-red,Your favorite city vibe is:,Futuristic and visionary,Enchanted Rose,Classic old,Savannah Spirit,Trendy and nostalgic,Crimson Blossom,Modern city nightlife,Leopard Luxe
Phone Organizer - 1997,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/romantic-roses-red/products/phone-organizer-1997-rrs-red,Which bag style attracts you most?,Sleek and modern,City Lights,Antique leather satchel,Playful Paws,Funky retro prints,Dreamscape Urbanite,Edgy futuristic designs,Color Mirage
Two Fold Clutch Wallet - 1996,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/romantic-roses-red/products/two-fold-clutch-wallet-1996-rrs-red,Which bag style attracts you most?,Sleek and modern,Petal Muse,Antique leather satchel,Metamorph Muse,Funky retro prints,Mystic Mosaic,Edgy futuristic designs,Celestial Wings
Coin pouch - 1824,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/romantic-roses-red/products/coin-pouch-1824-rrs-red,Which element resonates with your soul?,Air,Flutter Charm,Light,Dreamscape Urbanite,Movement,Crimson Blossom,Growth,City Lights
Medium Shoulder Hobo - 8527,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/roses-damour-black/products/medium-shoulder-hobo-8527-rdm-blk,Your favorite city vibe is:,Futuristic and visionary,Flutter Charm,Classic old,Paisley Muse,Trendy and nostalgic,Ocean Mist,Modern city nightlife,Wolf Moon
Painted Leather Bag Charm - K0013,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/roses-damour-black/products/painted-leather-bag-charm-k0013-keycharms-rdm-blk,What’s your go-to mood on weekends?,Relaxing with nature,Ocean Mist,Partying in the city,Ethereal Bloom,Exploring something new,City Lights,Staying cozy at home,Leopard Luxe
Travel Crossbody - 8560,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/roses-damour-black/products/travel-crossbody-8560-rdm-blk,Which bag style attracts you most?,Sleek and modern,Camellia Grace,Antique leather satchel,Retro Muse,Funky retro prints,Caribbean Dreamer,Edgy futuristic designs,Paisley Muse
Medium Multi Compartment Bag - 8503,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/roses-damour-black/products/medium-multi-compartment-bag-8503-rdm-blk,Which element resonates with your soul?,Air,Vintage Charm,Light,Crimson Blossom,Movement,Gentle Guardian,Growth,Earth Song
Coin pouch - 1824,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/roses-damour-black/products/coin-pouch-1824-rdm-blk,"If you had wings, how would you use them?",To glide peacefully above nature,Gentle Guardian,To explore galaxies beyond Earth,Color Mirage,To dance among flowers in freedom,Enchanted Rose,To transform and start anew,Playful Paws
Ladies Wallet - 1700,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/roses-damour-black/products/ladies-wallet-1700-rdm-blk,What type of adventure excites you most?,A jungle safari 🐆,Caribbean Dreamer,Climbing a mountain 🏔️,City Lights,Exploring an enchanted forest 🌲,Wolf Moon,Leading an expedition 🦁,Savannah Spirit
Card Holder - 1780,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/roses-damour-black/products/leather-card-holder-1780-rdm-blk,What color palette do you prefer for accessories?,Aqua blues and sea greens,Crimson Blossom,Bright island colors,Camellia Grace,Soft sandy tones,Caribbean Dreamer,Earthy browns and greens,Roaring Majesty
Small Zip Around Crossbody - 7602,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/roses-damour-black/products/leather-small-zip-around-crossbody-7602-rdm-blk,Which bag style attracts you most?,Sleek and modern,Paisley Muse,Antique leather satchel,Wilderness Whisper,Funky retro prints,Winged Serenity,Edgy futuristic designs,Playful Paws
4 in 1 Organizer Crossbody - 711,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/royal-garden/products/leather-4-in-1-organizer-crossbody-711-rgr,What quality do you value most?,Protection and care,Boho Spirit,Wisdom and calmness,Paisley Muse,Playfulness and joy,Paisley Muse,Strength with compassion,Ocean Mist
Card Holder with Wristlet - 1180,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/royal-garden/products/leather-card-holder-with-wristlet-1180-rgr,Pick a season you love most:,Spring 🌸,Roaring Majesty,Summer 🌞,Earth Song,Autumn 🍂,Winged Serenity,Winter ❄️,Paisley Muse
Airpod Pro Case - 1179,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/royal-garden/products/leather-airpod-pro-case-1179-rgr,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Mystic Mosaic,Bold and fiery rose prints,Flutter Charm,Soft watercolor blossoms,Celestial Wings,Dark romantic florals,Playful Paws
Clasp Pouch With Key Fobs - 1177,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/royal-garden/products/leather-clasp-pouch-with-key-fobs-1177-rgr,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Flutter Charm,An elephant with a lotus 🐘,Sacred Elephant,A guardian dog 🐕,Gentle Guardian,A mystical owl 🦉,Mystic Mosaic
Painted Leather Cuff - 1176,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/royal-garden/products/painted-leather-cuff-1176-rgr,Which art style inspires you most?,Colorful splashes,Dreamscape Urbanite,Intricate mosaics,Mystic Mosaic,Bohemian patterns,Tropical Breeze,Elegant paisleys,Mystic Mosaic
Accordion Flap Wallet - 1174,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/royal-garden/products/leather-accordion-flap-wallet-1174-rgr,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Mystic Mosaic,Bold and fiery rose prints,Boho Spirit,Soft watercolor blossoms,Paisley Muse,Dark romantic florals,Celestial Wings
Crossbody Phone Case - 1173,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/royal-garden/products/leather-crossbody-phone-case-1173-rgr,Which wild animal do you relate to most?,Leopard,Boho Spirit,Lion,Dreamscape Urbanite,Deer,Sacred Elephant,Wolf,Petal Muse
Medium Zip Pouch - 1107,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/royal-garden/products/leather-medium-zip-pouch-1107-rgr,What’s your go-to mood on weekends?,Relaxing with nature,Earth Song,Partying in the city,Enchanted Rose,Exploring something new,Savannah Spirit,Staying cozy at home,Vintage Charm
Credit Card Case - 1032,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/royal-garden/products/leather-credit-card-case-1032-rgr,What quality do you value most?,Protection and care,Playful Paws,Wisdom and calmness,Sacred Elephant,Playfulness and joy,Savannah Spirit,Strength with compassion,Boho Spirit
Medium Everyday Tote - 710,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/royal-garden/products/leather-medium-everyday-tote-710-rgr,Which element resonates with your soul?,Air,Flutter Charm,Light,Ethereal Bloom,Movement,Crimson Blossom,Growth,Crimson Blossom
Satchel With Crossbody Strap - 708,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/royal-garden/products/leather-satchel-with-crossbody-strap-708-rgr,Your dream vacation spot is:,A tropical island 🏝️,Enchanted Rose,Caribbean beaches 🏖️,Leopard Luxe,A quiet ocean cliff 🌊,Vintage Charm,A deep forest retreat 🌿,Angel Aura
Zip-Top Shoulder Hobo - 707,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/royal-garden/products/leather-zip-top-shoulder-hobo-707-rgr,Your favorite city vibe is:,Futuristic and visionary,Tropical Breeze,Classic old,Flutter Charm,Trendy and nostalgic,Sacred Elephant,Modern city nightlife,Wolf Moon
Expandable Travel Crossbody - 550,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/royal-garden/products/leather-expandable-travel-crossbody-550-rgr,Which art style inspires you most?,Colorful splashes,Wolf Moon,Intricate mosaics,Leopard Luxe,Bohemian patterns,Color Mirage,Elegant paisleys,Camellia Grace
Fabric with Leather Trim Great Escape Duffle - 12016,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-great-escape-duffle-12016-sea,Which element resonates with your soul?,Air,Vintage Charm,Light,Savannah Spirit,Movement,Paisley Muse,Growth,Angel Aura
Fabric with Leather Trim Multi Compartment Satchel - 12014,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-multi-compartment-satchel-12014-sea,Your dream vacation spot is:,A tropical island 🏝️,Petal Muse,Caribbean beaches 🏖️,Paisley Muse,A quiet ocean cliff 🌊,Boho Spirit,A deep forest retreat 🌿,Flutter Charm
Fabric with Leather Trim Zip Top City Tote - 12005,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-zip-top-city-totes-12005-sea,Which bag style attracts you most?,Sleek and modern,Angel Aura,Antique leather satchel,Savannah Spirit,Funky retro prints,Tropical Breeze,Edgy futuristic designs,Caribbean Dreamer
Fabric with Leather Trim Toiletry Case - 13001,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/sea-treasures/products/fabric-toiletry-case-13001-sea,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Angel Aura,An elephant with a lotus 🐘,Enchanted Rose,A guardian dog 🐕,Angel Aura,A mystical owl 🦉,Leopard Luxe
Fabric with Leather Trim Large Sling Hobo - 12010,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-large-sling-hobo-12010-sea,Pick a season you love most:,Spring 🌸,Earth Song,Summer 🌞,Roaring Majesty,Autumn 🍂,Roaring Majesty,Winter ❄️,Earth Song
Fabric with Leather Trim Travel Jewelry Organizer - 13003,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-travel-jewelry-organizer-13003-sea,What’s your go-to mood on weekends?,Relaxing with nature,Leopard Luxe,Partying in the city,Playful Paws,Exploring something new,Sacred Elephant,Staying cozy at home,Sacred Elephant
Fabric with Leather Trim Crossbody with Slip Pocket - 12017,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-crossbody-with-slip-pocket-12017-sea,What color palette do you prefer for accessories?,Aqua blues and sea greens,Mystic Mosaic,Bright island colors,Celestial Wings,Soft sandy tones,Dreamscape Urbanite,Earthy browns and greens,Ocean Mist
Fabric with Leather Trim East/West Hobo - 12013,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-east-west-hobo-12013-sea,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Petal Muse,Bold and fiery rose prints,Celestial Wings,Soft watercolor blossoms,Winged Serenity,Dark romantic florals,Petal Muse
Fabric with Leather Trim Cell Phone Crossbody Wallet - 13005,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/sea-treasures/products/fabric-cell-phone-crossbody-wallet-13005-sea,Which art style inspires you most?,Colorful splashes,Wolf Moon,Intricate mosaics,Playful Paws,Bohemian patterns,Wolf Moon,Elegant paisleys,Leopard Luxe
Fabric with Leather Trim Three-Fold RFID Wallet - 13007,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-three-fold-rfid-wallet-13007-sea,What type of adventure excites you most?,A jungle safari 🐆,Savannah Spirit,Climbing a mountain 🏔️,Wolf Moon,Exploring an enchanted forest 🌲,Caribbean Dreamer,Leading an expedition 🦁,Vintage Charm
Fabric with Leather Trim Wristlet Travel Wallet - 13000,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-wristlet-travel-wallet-13000-sea,Which wild animal do you relate to most?,Leopard,Enchanted Rose,Lion,Metamorph Muse,Deer,Wolf Moon,Wolf,Earth Song
Fabric with Leather Trim Dome Cosmetic Bag - 13002,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/sea-treasures/products/fabric-dome-cosmetic-bag-13002-sea,What’s your go-to mood on weekends?,Relaxing with nature,Paisley Muse,Partying in the city,Earth Song,Exploring something new,Dreamscape Urbanite,Staying cozy at home,Savannah Spirit
